Dados do Tema Regulatório;;;;;;;Dados do Processo Regulatório;;;
Item;Eixo;Tema;Etapa do Processo Regulatório;Descrição;AIR/Dispensa;Relacionamento com Agenda Anterior;Processo SEI;Área Técnica Responsável pelo Processo;Status da Audiência;Relatoria do Processo
1.1;Navegação Interior;1.1 Revisão e simplificação do estoque regulatório da navegação interior.*;10. Em deliberação final do colegiado;"O objetivo é revisar as onze resoluções da Antaq que tratam da navegação interior e promover (i) a consolidação dos instrumentos que possuem assuntos sobrepostos; (ii) atualizações decorrentes de alterações de leis; (iii) o aperfeiçoamento de dispositivos normativos, considerando as práticas e condições de prestação de serviço observadas no mercado; e (iv) a compatibilização da regulamentação com a política pública vigente para o setor.";Nota Técnica nº 113/2024;Agenda 2022-2024;50300.003320/2024-91;Gerência de Regulação da Navegação - GRN;;D1
1.2;Navegação Interior;1.2 Penalidades nas normas de navegação interior;1. Não iniciado;"O objetivo é revisar as penalidades das resoluções da Antaq que tratam da navegação interior para promover (i) o alinhamento à metodologia utilizada pela Resolução Antaq nº 3.259/2014; (ii) melhor proporcionalidade das penalidades, através da classificação das infrações por gravidade; (iii) a atualização de valores, considerando que os valores originais nunca foram revisados ou corrigidos; e (iv) a redução de reincidências infracionais, através do estabelecimento de penalidades que tornem o comportamento irregular economicamente desvantajoso.";;;50300.003566/2025-43;Gerência de Regulação da Navegação - GRN;;D4
1.3;Navegação Interior;1.3 Operações de transbordo de granel sólido (barge to ship).;2. Em análise preliminar;O objetivo é avaliar a conveniência de regulamentar normativamente as operações de transbordo de granel sólido realizadas de barcaças para navios (barge to ship), considerando (i) a ocorrência crescente desse tipo de operação na região norte do país e (ii) a necessidade de internalizar o conceito e os aspectos regulatórios específicos desse tipo de operação.;;;50300.019278/2025-19;Gerência de Regulação da Navegação - GRN;;D3
1.4;Navegação Interior;1.4 Critérios de serviço adequado no serviço de transporte público.;2. Em análise preliminar;"O objetivo é definir o conceito de serviço de transporte adequado na navegação interior para promover (i) o estabelecimento de requisitos objetivos para avaliar condições de continuidade, eficiência, efetividade, segurança, atualidade, generalidade, transparência, cortesia e modicidade das tarifas; e (ii) a uniformidade da interpretação, do cumprimento e da fiscalização desses requisitos.";;;50300.003611/2026-41;Gerência de Regulação da Navegação - GRN;;D2
1.5;Navegação Interior;1.5 Esquema operacional na navegação interior;Excluído;"O objetivo é avaliar a possibilidade de redefinição e flexibilização dos esquemas operacionais adotados na navegação interior para promover (i) a conciliação eficiente dos aspectos operacionais relevantes (horários, rotas, design de embarcações, frequência de viagens etc.); (ii) o alinhamento às realidades locais; e (iii) o adequado atendimento à demanda dos usuários.";;;;Gerência de Regulação da Navegação - GRN;;
2.1;Navegação Marítima;2.1 Afretamento por tempo na navegação marítima.*;4. Em elaboração da proposta normativa;"O objetivo é revisar a regulamentação sobre o afretamento por tempo de embarcações por Empresa Brasileira de Navegação na navegação marítima para promover (i) o alinhamento às diretrizes de desenvolvimento do setor e às transformações econômicas e logísticas introduzidas por meio da Lei nº 14.301/2022 (BR do Mar); e (ii) a adequação às condições de mercado observadas.";;Agenda 2022-2024;50300.006613/2024-20;Gerência de Regulação da Navegação - GRN;;D1
2.2;Navegação Marítima;2.2 Procedimentos de consulta ao mercado da disponibilidade de embarcação brasileira.*;4. Em elaboração da proposta normativa;"O objetivo é revisar a regulamentação sobre os procedimentos de consulta de disponibilidade de embarcação brasileira intermediados pela Antaq para promover (i) o aprimoramento dos critérios de circularização e bloqueio; (ii) melhor especificação das características das operações pretendidas (cargas transportadas, terminais portuários utilizados etc.); e (iii) maior efetividade dos procedimentos.";;Agenda 2022-2024;50300.003395/2024-71;Gerência de Regulação da Navegação - GRN;;D1
2.3;Navegação Marítima;"2.3 Impactos e necessidades regulatórias dos diferentes tipos e situações de operação de transferência de combustível entre embarcações, inclusive abastecimento (""bunkering"").";2. Em análise preliminar;"O objetivo é definir os tipos de navegação envolvidos nas diferentes formas de operação de transferência de combustível entre embarcações para promover (i) a uniformização do entendimento regulatório; (ii) a utilização de critérios adequados; e (iii) a isonomia no cumprimento e fiscalização da regulamentação.";;;50300.015598/2025-91;Gerência de Regulação da Navegação - GRN;;D4
2.4;Navegação Marítima;2.4 Concessão de outorgas na navegação de cabotagem.;1. Não iniciado;"O objetivo é avaliar a necessidade de estabelecer regimes regulatórios distintos na navegação de cabotagem para promover (i) a adequação às especificidades de perfis de cargas e alterações da Lei nº 9.432/1997 introduzidas pela Lei nº 14.301/2022 (BR do Mar); (ii) a consideração de novos critérios para concessão de outorga a Empresas Brasileiras de Navegação (EBN); (iii) a mitigação de desequilíbrios concorrenciais no afretamento de embarcações estrangeiras a partir de outorgas obtidas por EBNs.";;;;Gerência de Regulação da Navegação - GRN;;
2.5;Navegação Marítima;2.5 Responsabilidades do agente intermediário na geração de sobre-estadia de contêineres.;1. Não iniciado;"O objetivo é avaliar as responsabilidades dos agentes intermediários na ocorrência de sobre-estadia de contêineres para promover (i) a definição de critérios claros para atribuição de responsabilidade de geração e pagamento; (ii) a definição de bases de cálculo consideradas adequadas; (iii) a mitigação da ocorrência de disputas prolongadas e atrasos em operações de transporte, que aumentam os custos e diminuem a eficiência do setor de transporte marítimo.";;;;Gerência de Regulação da Navegação - GRN;;
2.6;Navegação Marítima;2.6 Sobre-estadia de contêiner - Resolução Antaq nº 62/2021.;2. Em análise preliminar;"O objetivo é revisar a regulamentação acerca da sobre-estadia de contêineres, com base nos resultados da Avaliação de Resultado Regulatório conduzida pela Antaq, para promover (i) a melhor caracterização dos riscos e responsabilidades relativas à sobre-estadia; (ii) o aprimoramento dos dispositivos normativos em função do amadurecimento regulatório; e (iii) a consideração de benchmarking internacional e da publicação da Regra Final da Federal Maritime Comission, dos EUA.";;;50300.022826/2025-80;Gerência de Regulação da Navegação - GRN;;D4
2.7;Navegação Marítima;2.7 Contabilização de TPB para fins de afretamento no REB, com ênfase no apoio marítimo;1. Não iniciado;O objetivo é avaliar a criação de parâmetros para o atesto de tonelagem de porte bruto (TPB) no afretamento a casco nu de embarcação estrangeira, com suspensão de bandeira e inscrição no Registro Especial Brasileiro (REB), especialmente no apoio marítimo, para promover (i) o funcionamento eficiente do mercado e (ii) a garantia da estabilidade jurídica.;;;;Gerência de Regulação da Navegação - GRN;;
3.1;Instalações Portuárias;3.1 Revisão da Resolução da Norma de Registros - Resolução Normativa Antaq nº 13/2016.*;7. Em análise das contribuições;"O objetivo é revisar a regulamentação sobre registro de instalações portuárias, com base nos resultados da Avaliação de Resultado Regulatório conduzida pela Antaq, para promover (i) a simplificação de procedimentos; (ii) a inclusão de previsões e critérios bem definidos para aprovação dos pedidos e obrigações decorrentes; e (iii) o aprimoramento dos processos de fiscalização.";Relatório de AIR 1/2024;Agenda 2022-2024;50300.006472/2018-05;Gerência de Regulação Portuária - GRP;;D1
3.2;Instalações Portuárias;3.2 Atualização da Norma de Fiscalização Portuária - Resolução Antaq nº 75/2022.*;6. Em participação social;"O objetivo é revisar a regulamentação sobre a fiscalização da prestação de serviços portuários para promover (i) a inclusão do modelo de concessão de portos organizados no contexto do serviço portuário; e (ii) o estabelecimento de infrações e penalidades administrativas para as empresas concessionárias.";Nota Técnica nº 14/2024;Agenda 2022-2024;50300.017497/2024-74;Gerência de Regulação Portuária - GRP;;D1
3.3;Instalações Portuárias;3.3 Revisão da Norma de Outorgas de Instalações Portuárias - Resolução Antaq nº 71/2022.;5. Em deliberação para participação social;"O objetivo é revisar a regulamentação sobre os procedimentos para autorização de construção e exploração de terminal de uso privado, de estação de transbordo de carga, de instalação portuária pública de pequeno porte e de instalação portuária de turismo, para promover (i) o alinhamento às diretrizes do Programa Navegue Simples; e (ii) o aprimoramento, simplificação e desburocratização dos procedimentos de outorga.";;;50300.017601/2025-10;Gerência de Regulação Portuária - GRP;;D4
3.4;Instalações Portuárias;3.4 Contratos de passagem firmados nos portos organizados;11. Concluído;"O objetivo é avaliar a regulamentação dos contratos de passagem firmados pelas autoridades portuárias para promover (i) a adequação dos procedimentos de aprovação prévia, de acordo com a pertinência, impactos, custos e benefícios dos atos; (ii) a conformidade legal e segurança jurídica dos contratos; (ii) maior transparência dos critérios de decisão das autoridades portuárias; (iii) a criação de dispositivos para prevenir abusos, abusos, práticas anticompetitivas e concentração de mercado.";;;50300.003368/2024-07;Gerência de Regulação Portuária - GRP;;D4
3.5;Instalações Portuárias;3.5 Pátios de triagem de veículos, fora e dentro do porto organizado.*;1. Não iniciado;"O objetivo é analisar a exploração e contratação de pátios de triagem de veículos relacionados às atividades portuárias para promover (i) a definição dos limites regulatórios sobre essas atividades; e (ii) a consideração de possibilidades de regulamentação de acordo com a localização das estruturas (dentro ou fora do porto organizado), a natureza das relações entre essas infraestruturas, o contexto portuário e os usuários do transporte terrestre.";;Agenda 2022-2024;;Gerência de Regulação Portuária - GRP;;D2
3.6;Instalações Portuárias;3.6 Revisão da Norma de Fiscalização Portuária - Resolução Antaq nº 75/2022.;Excluído;"O objetivo é revisar a regulamentação sobre a fiscalização da prestação de serviços portuários para promover (i) a inclusão de novas formas de exploração da infraestrutura portuária no contexto do serviço portuário; e (ii) o aprimoramento das regras de fiscalização diante dos desafios observados.";;;;Gerência de Regulação Portuária - GRP;;
3.7;Instalações Portuárias;3.7 Recomposição cautelar do equilíbrio econômico-financeiro dos contratos de arrendamento de áreas e instalações portuárias nos portos organizados e concessões.;1. Não iniciado;"O objetivo é analisar a possibilidade de criação de mecanismos cautelares de reequilíbrio dos contratos de arrendamento de áreas e instalações portuárias nos portos organizados e concessões, para promover (i) maior agilidade aos processos de reequilíbrio econômico-finaceiro; (ii) o aumento da segurança jurídica para a continuidade dos contratos; (iii) o aumento da atração de investimentos privados e (iv) a diminuição de riscos de judicialização dos processos.";;;;;;
2.8;Navegação Marítima;2.8 Prestação de serviço concedido de exploração de infraestrutura aquaviária;2. Em análise preliminar;O objetivo é avaliar as necessidades de aprimoramento do arcabouço regulatório aplicável às concessões de hidrovias e canais de acesso portuário, para conferir maior robustez jurídica, previsibilidade e eficiência à exploração dessas infraestruturas.;;;50300.001842/2026-10;Gerência de Regulação da Navegação - GRN;;D3
3.8;Instalações Portuárias;3.8 Transmutação de instalações assistidas por contratos de passagem em instalações portuárias sob a modalidade de Terminal de Uso Privado (TUP);1. Não iniciado;"O objetivo é disciplinar a equiparação regulatória de instalações retroportuárias que utilizam contratos de passagem para acessar berços públicos, conferindo-lhes enquadramento na modalidade TUP, para promover (i) harmonização dos regimes de outorga; (ii) ampliação da segurança jurídica e regulatória; e (iii) maior previsibilidade e transparência do setor.";;;;;;
3.9;Instalações Portuárias;3.9 Coleta de dados para inventário de emissão de gases do efeito estufa (GEE) no sistema portuário;2. Em análise preliminar;O objetivo é disciplinar o fornecimento de informações periódicas, consistentes e padronizadas pelos terminais portuários sobre consumo energético e emissões de gases de efeito estufa (GEE), para subsidiar inventários nacionais, decisões regulatórias e políticas públicas voltadas à sustentabilidade.;;;50300.005075/2026-18;Gerência de Regulação Portuária - GRP;;D1
3.10;Instalações Portuárias;3.10 Definição dos serviços e das responsabilidades dos terminais portuários de contêineres por cargas sujeitas a trânsito aduaneiro ou submetidas a desembaraço aduaneiro na modalidade de despacho sobre águas e temas correlatos;2. Em análise preliminar;O objetivo é examinar a disciplina aplicável aos serviços portuários no segmento de carga conteinerizada, com vistas a avaliar e normatizar os serviços prestados durante o período em que a carga permanece sob responsabilidade dos terminais primários, seja aguardando o trânsito aduaneiro ou a retirada após o desembaraço na modalidade de despacho sobre águas.;;;50300.025205/2025-58;Gerência de Regulação Portuária - GRP;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
